,Timestamp,RR-intervals
721,1707285808.212,768.0
722,1707285808.98,768.0
723,1707285809.716,736.0
724,1707285810.452,736.0
725,1707285811.172,720.0
726,1707285811.9,728.0
727,1707285812.612,712.0
728,1707285813.308,696.0
729,1707285814.02,712.0
730,1707285814.74,720.0
731,1707285815.492,752.0
732,1707285816.26,768.0
733,1707285817.004,744.0
734,1707285817.732,728.0
735,1707285818.428,696.0
736,1707285819.132,704.0
737,1707285819.828,696.0
738,1707285820.524,696.0
739,1707285821.204,680.0
740,1707285821.884,680.0
741,1707285822.58,696.0
742,1707285823.268,688.0
743,1707285823.956,688.0
744,1707285824.676,720.0
745,1707285825.396,720.0
746,1707285826.132,736.0
747,1707285826.844,712.0
748,1707285827.532,688.0
749,1707285828.196,664.0
750,1707285828.86,664.0
751,1707285829.508,648.0
752,1707285830.14,632.0
753,1707285830.764,624.0
754,1707285831.372,608.0
755,1707285831.98,608.0
756,1707285832.58,600.0
757,1707285833.172,592.0
758,1707285833.764,592.0
759,1707285834.356,592.0
760,1707285834.948,592.0
761,1707285835.54,592.0
762,1707285836.14,600.0
763,1707285836.74,600.0
764,1707285837.332,592.0
765,1707285837.98,648.0
766,1707285838.636,656.0
767,1707285839.42,784.0
768,1707285840.332,912.0
769,1707285841.196,864.0
770,1707285841.948,752.0
771,1707285842.652,704.0
772,1707285843.364,712.0
773,1707285844.068,704.0
774,1707285844.772,704.0
775,1707285845.444,672.0
776,1707285846.124,680.0
777,1707285846.812,688.0
778,1707285847.492,680.0
779,1707285848.156,664.0
780,1707285848.82,664.0
781,1707285849.484,664.0
782,1707285850.148,664.0
783,1707285850.82,672.0
784,1707285851.516,696.0
785,1707285852.244,728.0
786,1707285853.004,760.0
787,1707285853.748,744.0
788,1707285854.484,736.0
789,1707285855.204,720.0
790,1707285855.916,712.0
791,1707285856.604,688.0
792,1707285857.292,688.0
793,1707285857.956,664.0
794,1707285858.628,672.0
795,1707285859.3,672.0
796,1707285859.964,664.0
797,1707285860.66,696.0
798,1707285861.364,704.0
799,1707285862.1,736.0
800,1707285862.844,744.0
801,1707285863.588,744.0
802,1707285864.292,704.0
803,1707285864.996,704.0
804,1707285865.692,696.0
805,1707285866.42,728.0
806,1707285867.18,760.0
807,1707285867.908,728.0
808,1707285868.628,720.0
809,1707285869.34,712.0
810,1707285870.02,680.0
811,1707285870.692,672.0
812,1707285871.236,544.0
813,1707285871.86,624.0
814,1707285872.564,704.0
815,1707285873.276,712.0
816,1707285873.98,704.0
817,1707285874.676,696.0
818,1707285875.372,696.0
819,1707285876.068,696.0
820,1707285876.764,696.0
821,1707285877.468,704.0
822,1707285878.164,696.0
823,1707285878.828,664.0
824,1707285879.5,672.0
825,1707285880.156,656.0
826,1707285880.828,672.0
827,1707285881.5,672.0
828,1707285882.196,696.0
829,1707285882.948,752.0
830,1707285883.684,736.0
831,1707285884.452,768.0
832,1707285885.196,744.0
833,1707285885.924,728.0
834,1707285886.652,728.0
835,1707285887.364,712.0
836,1707285888.076,712.0
837,1707285888.788,712.0
838,1707285889.476,688.0
839,1707285890.148,672.0
840,1707285890.812,664.0
841,1707285891.46,648.0
842,1707285892.1,640.0
843,1707285892.74,640.0
844,1707285893.364,624.0
845,1707285893.996,632.0
846,1707285894.628,632.0
847,1707285895.268,640.0
848,1707285896.036,768.0
849,1707285896.82,784.0
850,1707285897.628,808.0
851,1707285898.476,848.0
852,1707285899.292,816.0
853,1707285900.028,736.0
854,1707285900.772,744.0
855,1707285901.492,720.0
856,1707285902.212,720.0
857,1707285902.94,728.0
858,1707285903.636,696.0
859,1707285904.388,752.0
860,1707285905.092,704.0
861,1707285905.796,704.0
862,1707285906.468,672.0
863,1707285907.14,672.0
864,1707285907.788,648.0
865,1707285908.436,648.0
